Name,Podcast,URL
Politics & the Future of Tech,a16z,https://www.youtube.com/watch?v=dX7d6bRJI9k&ab_channel=a16z
A Nuclear Comeback: Are New Reactors the Answer?,a16z,https://www.youtube.com/watch?v=BZUMZl4OsPI&ab_channel=a16z
Safety in Numbers: Keeping AI Open,a16z,https://www.youtube.com/watch?v=NhASk7rZsmU&ab_channel=a16z
"Yann Lecun: Meta AI, Open Source, Limits of LLMs, AGI & the Future of AI | Lex Fridman Podcast",Lex Fridman,https://www.youtube.com/watch?v=5t1vTLU7s40&ab_channel=LexFridman
"Sam Altman: OpenAI, GPT-5, Sora, Board Saga, Elon Musk, Ilya, Power & AGI | Lex Fridman Podcast",Lex Fridman,https://www.youtube.com/watch?v=jvqFAi7vkBc
Anthropic CEO on Leaving OpenAI and Predictions for Future of AI,Logan Bartlette ,https://www.youtube.com/watch?v=gAaCqj6j5sQ
Emmett Shear on the Future of AI and YC Days with Sam Altman,Logan Bartlette,https://www.youtube.com/watch?v=ICnFtfN-sUc
Building to $100B: The CEO that Revolutionized Palo Alto Networks,Logan Bartlette,https://www.youtube.com/watch?v=oO1OBs2zaWU
Elon Musk | LIVE Podcast | In Good Company | Norges Bank Investment Management,In Good Company,https://www.youtube.com/watch?v=_rQBZ3vKRA0&ab_channel=NorgesBankInvestmentManagement
Satya Nadella - CEO of Microsoft | In Good Company | Podcast | Norges Bank Investment Management,In Good Company,https://www.youtube.com/watch?v=yNuLPWu38IU&ab_channel=NorgesBankInvestmentManagement
